Top 10?,WA Water Resilence?,CFDA #,CFDA Name,Department/Ind. Agency,Awarding Sub Agency,Sub-Tier,WP Category,Types of Assistance,Total $,Total $ Rank,Per Capita $,Per Capita $ Rank,Unique from WP CFDA list?,Title,Related Federal Assistance,Last Date Modified,Date Published,Funded,POC Information
,y,10.770,Water and Waste Disposal Loans and Grants (Section 306C),"AGRICULTURE, DEPARTMENT OF",Rural Utilities Service,RURAL UTILITIES SERVICE,,B - Project Grants (Discretionary),3580000,17,0.47,19,FALSE,Water and Waste Disposal Loans and Grants (Section 306C),10.76,18-Aug-20,18-Aug-20,TRUE,"Assistant Administrator

Rural Utilities Service, 1400 Independence Avenue, SW,, Washington DC 20250

202-690-2670"
,,10.781,Water and Waste Disposal Systems for Rural Communities - ARRA,RURAL UTILITIES SERVICE,Rural Utilities Service,,,Capital Projects,10735750,33,1.41,37,FALSE,WATER AND WASTE DISPOSAL SYSTEMS FOR RURAL COMMUNITIES - ARRA,,,,,
,y,10.862,Household Water Well System Grant Program,"AGRICULTURE, DEPARTMENT OF",NULL,RURAL UTILITIES SERVICE,,B - Project Grants,0,49,0,49,FALSE,Household Water Well System Grant Program,"10.760, 10.760",18-Aug-20,18-Aug-20,TRUE,"Assistant Administrator, Water and Environmental Programs,

Rural Utilities Service, Department of Agriculture 1400 Independence Ave., SW, Stop 1548, Washington DC 20250

(202) 690-2670."
,y,10.864,Grant Program to Establish a Fund for Financing Water and Wastewater Projects,"AGRICULTURE, DEPARTMENT OF",NULL,RURAL UTILITIES SERVICE,,B - Project Grants,0,48,0,48,FALSE,Grant Program to Establish a Fund for Financing Water and Wastewater Projects,"10.760, 10.760",18-Aug-20,18-Aug-20,TRUE,"Assistant Administrator, Water and Environmental Programs,

Rural Utilities Service, 1400 Independence Ave., SW, Washington DC 20250

(202) 690-2670."
,y,10.902,Soil and Water Conservation,"AGRICULTURE, DEPARTMENT OF",Natural Resources Conservation Service,NATURAL RESOURCES CONSERVATION SERVICE,,Z - Salaries and Expenses,369521,45,0.049,51,FALSE,Soil and Water Conservation,"10.500, 10.904, 10.905, 10.903, 10.905, 10.903, 10.907, 10.907, 10.054, 10.904",25-Jun-20,25-Jun-20,TRUE,"Aaron Lauster

1400 Independence Ave., SW, Washington DC 20250

(202) 260-9230"
,y,10.903,Soil Survey,"AGRICULTURE, DEPARTMENT OF",Natural Resources Conservation Service,NATURAL RESOURCES CONSERVATION SERVICE,Data & Monitoring,Z - Salaries and Expenses,150000,7,0.02,15,TRUE,Soil Survey,"10.904, 10.904, 10.902",6-Jul-20,6-Jul-20,TRUE,"Pam Thomas, Soils Program Manager

1400 Independence Ave., SW, Washington DC 20250

(202) 205-4211"
,y,10.904,Watershed Protection and Flood Prevention,"AGRICULTURE, DEPARTMENT OF",Natural Resources Conservation Service,NATURAL RESOURCES CONSERVATION SERVICE,,Z - Salaries and Expenses/cap projects,532140,24,0.07,27,FALSE,Watershed Protection and Flood Prevention,"10.907, 10.903, 12.104, 10.903, 10.905, 10.902, 12.104, 10.664",14-Jul-20,14-Jul-20,FALSE,"Kevin Farmer, Branch Chief, Watershed Programs Branch

1400 Independence Ave, SW, Washington DC 20250

(202) 720-3413"
,y,10.905,Plant Materials for Conservation,"AGRICULTURE, DEPARTMENT OF",NULL,NATURAL RESOURCES CONSERVATION SERVICE,Capital Projects,Z - Salaries and Expenses,0,49,0,49,TRUE,Plant Materials for Conservation,"10.904, 10.902, 10.904",29-Jun-20,29-Jun-20,TRUE,"John Englert

, Ecological Sciences Division, Natural Resources Conservation Service, Department of Agriculture, 1400 Independence Ave., SW,  P.O. Box 2890, Washington DC 20013

(202) 720-0536"
,y,10.907,Snow Survey and Water Supply Forecasting,"AGRICULTURE, DEPARTMENT OF",Natural Resources Conservation Service,NATURAL RESOURCES CONSERVATION SERVICE,Data & Monitoring,Z - Salaries and Expenses,5000,9,0.001,9,TRUE,Snow Survey and Water Supply Forecasting,"10.904, 10.902, 10.904",9-Jul-20,9-Jul-20,TRUE,"Brent Duncan

Natural Resources Conservation Service, Department of Agriculture, P.O. Box 2890, Washington DC 20013

202-720-1821"
,y,10.912,Environmental Quality Incentives Program,"AGRICULTURE, DEPARTMENT OF",Natural Resources Conservation Service,NATURAL RESOURCES CONSERVATION SERVICE,,C - Direct Payments for Specified Use,2709580,15,0.356,27,FALSE,Environmental Quality Incentives Program,"10.069, 10.072, 10.904, 10.054, 10.902",29-Jul-20,29-Jul-20,TRUE,"Jeffrey White, Branch Chief, Program Implementation Branch, Financial Assistance Programs Division

Natural Resources Conservation Service

1400 Independence Avenue SW; Room 5231-S, Washington DC 20250

(202) 690-2621"
,y,10.913,Farm and Ranch Lands Protection Program,"AGRICULTURE, DEPARTMENT OF",Natural Resources Conservation Service,NATURAL RESOURCES CONSERVATION SERVICE,Conservation,Z - Salaries and Expenses,11784486,3,1.548,8,TRUE,Farm and Ranch Lands Protection Program,"10.072, 10.922, 10.931, 10.069, 10.920",6-Jul-20,6-Jul-20,TRUE,"John Glover

1400 Independence Ave, SW, Washington DC 20250

202-260-8106"
,y,10.914,Wildlife Habitat Incentive Program,"AGRICULTURE, DEPARTMENT OF",Natural Resources Conservation Service,NATURAL RESOURCES CONSERVATION SERVICE,,Z - Salaries and Expenses,63503,24,0.008,31,FALSE,Wildlife Habitat Incentive Program,"10.912, 10.904, 10.072, 10.921, 10.054, 10.069, 10.902",29-Jul-20,29-Jul-20,TRUE,"Jeffrey White, Branch Chief, Program Implementation Branch, Financial Assistance Programs Division

1400 Independence Avenue, SW; Room 5231-S, Washington DC 20250

202-690-2621"
,y,10.916,Watershed Rehabilitation Program,"AGRICULTURE, DEPARTMENT OF",Natural Resources Conservation Service,NATURAL RESOURCES CONSERVATION SERVICE,,Z - Salaries and Expenses,23205,26,0.003,25,FALSE,Watershed Rehabilitation Program,"12.104, 10.904, 10.904, 12.104",10-Jul-20,10-Jul-20,TRUE,"Kevin Farmer

Department of Agriculture, Natural Resources Conservation Service

1400 Independence Ave., SW.

Room 6015-S

P.O. Box 2890, Washington DC 20250

(202)720-3414"
,,10.917,Agricultural Management Assistance,"AGRICULTURE, DEPARTMENT OF",NULL,NATURAL RESOURCES CONSERVATION SERVICE,,Z - Salaries and Expenses,0,48,0,48,FALSE,Agricultural Management Assistance,N/A,29-Jul-20,29-Jul-20,TRUE,"Jeffrey White

1400 Independence Ave, SW; Room 5231-S, Washington DC 20250

202-690-2621"
,,10.918,Ground and Surface Water Conservation_ Environmental Quality Incentives Program,NATURAL RESOURCES CONSERVATION SERVICE,NULL,,,Capital Projects,0,48,0,48,FALSE,GROUND AND SURFACE WATER CONSERVATION_ ENVIRONMENTAL QUALITY INCENTIVES PROGRAM,,,,,
,y,10.920,Grassland Reserve Program,"AGRICULTURE, DEPARTMENT OF",Farm Service Agency,NATURAL RESOURCES CONSERVATION SERVICE,Conservation,C - Direct Payments for Specified Use,1528004.47,21,0.201,29,TRUE,Grassland Reserve Program,"10.931, 10.913, 10.922, 10.072, 10.069, 10.931, 10.922",6-Jul-20,6-Jul-20,TRUE,"John Glover

1400 Independence Ave, SW, Washington DC 20250

202-260-8106"
,y,10.921,Conservation Security Program,"AGRICULTURE, DEPARTMENT OF",Natural Resources Conservation Service,NATURAL RESOURCES CONSERVATION SERVICE,Conservation,C - Direct Payments for Specified Use,10333,20,0.001,22,TRUE,Conservation Security Program,"10.914, 10.912, 10.924, 10.904, 10.917",29-Jul-20,29-Jul-20,TRUE,"Jeffrey White, Branch Chief, Program Implementation Branch, Financial Assistance Programs Division

1400 Independence Ave, SW Room 5247-S, Washington DC 20250

(202) 690-2621"
,y,10.922,Healthy Forests Reserve Program (HFRP),"AGRICULTURE, DEPARTMENT OF",NULL,NATURAL RESOURCES CONSERVATION SERVICE,Conservation,C - Direct Payments for Specified Use,0,48,0,48,TRUE,Healthy Forests Reserve Program (HFRP),N/A,19-Aug-20,19-Aug-20,TRUE,"Lisa McCauley

1400 Independence Ave, SW, Washington DC 20250

202-494-5716"
,y,10.923,Emergency Watershed Protection Program,"AGRICULTURE, DEPARTMENT OF",Natural Resources Conservation Service,NATURAL RESOURCES CONSERVATION SERVICE,,B - Cooperative Agreements (Discretionary Grants),4160,45,0.001,45,FALSE,Emergency Watershed Protection Program,10.904,20-Jul-20,20-Jul-20,TRUE,"Kevin Farmer, Branch Chief, Watershed Programs Branch

USDA, NRCS

1400 Independence Ave., SW.

P.O. Box 2890, Washington DC 20250

202-720-3413."
,y,10.924,Conservation Stewardship Program,"AGRICULTURE, DEPARTMENT OF",NULL,NATURAL RESOURCES CONSERVATION SERVICE,,Z - Salaries and Expenses,0,48,0,48,FALSE,Conservation Stewardship Program,"10.912, 10.921, 10.917, 10.914, 10.904",29-Jul-20,29-Jul-20,TRUE,"Jeffrey White, Branch Chief, Program Implementation Branch, Financial Assistance Programs Division

Natural Resources Conservation Service

1400 Independence Avenue SW; Room 5231-S, Washington DC 20250

(202) 690-2621"
,y,10.925,Agricultural Water Enhancement Program,"AGRICULTURE, DEPARTMENT OF",NULL,NATURAL RESOURCES CONSERVATION SERVICE,,Z - Salaries and Expenses,0,48,0,48,FALSE,Agricultural Water Enhancement Program,10.912,29-Jul-20,29-Jul-20,TRUE,"Jeffrey White, Branch Chief, Program Implementation Branch, Financial Assistance Programs Division

1400 Independence Avenue, SW; Room 5231-S, Washington DC 20250

(202) 690-2621"
,y,10.927,NULL,"AGRICULTURE, DEPARTMENT OF",NULL,NATURAL RESOURCES CONSERVATION SERVICE,Capital Projects,B - Project Grants (Cooperative Agreements or Contracts),0,48,0,48,TRUE,Emergency Watershed Protection Program - Disaster Relief Appropriations Act,"10.904, 10.923",20-Jul-20,20-Jul-20,TRUE,"Kevin Farmer, Branch Chief, Watershed Programs Branch

1400 Independence Ave, SW, Washington DC 20250

(202) 720-3413"
,y,10.928,NULL,,NULL,,Capital Projects,,0,48,0,48,TRUE,Emergency Watershed Protection Program - Floodplain Easements – Disaster Relief Appropriations Act,,,,,
,y,10.929,NULL,"AGRICULTURE, DEPARTMENT OF",NULL,NATURAL RESOURCES CONSERVATION SERVICE,Capital Projects,Z - Salaries and Expenses,0,48,0,48,TRUE,Water Bank Program,"15.611, 10.902",29-Jul-20,29-Jul-20,FALSE,"Jeffrey White

Natural Resources Conservation Service

1400 Independence Ave, SW; Room 5237-S, Washington DC 20250

(202) 690-2621"
,y,10.931,Agricultural Conservation Easement Program,"AGRICULTURE, DEPARTMENT OF",NULL,NATURAL RESOURCES CONSERVATION SERVICE,,Z - Salaries and Expenses,0,48,0,48,FALSE,Agricultural Conservation Easement Program,"10.072, 10.922, 10.913, 10.069, 10.922, 10.920, 10.904",17-Aug-20,17-Aug-20,TRUE,"Jerome Faulkner (ACEP-ALE)

1400 Independence Ave, SW, Washington DC 20250

202-690-1905"
,y,10.932,Regional Conservation Partnership Program,"AGRICULTURE, DEPARTMENT OF",NULL,NATURAL RESOURCES CONSERVATION SERVICE,,B - Cooperative Agreements,0,48,0,48,FALSE,Regional Conservation Partnership Program,"10.912, 10.922, 10.931, 10.931, 10.922, 10.924, 10.904",6-Aug-20,6-Aug-20,TRUE,"Kari Cohen, Branch Chief, Program Projects Branch, Financial Assistance Programs Division

Natural Resources Conservation Service

1400 Independence Ave, SW, Washington DC 20250

(202) 720-6037"
,y,10.933,NULL,"AGRICULTURE, DEPARTMENT OF",NULL,NATURAL RESOURCES CONSERVATION SERVICE,,B - Project Grants,0,48,0,48,FALSE,Wetland Mitigation Banking Program,N/A,19-Aug-20,19-Aug-20,TRUE,"Kari Cohen

Natural Resources Conservation Service,

1400 Independence Ave, SW, Washington DC 20250

202-720-6037"
,,10.950,Agricultural Statistics Reports,"AGRICULTURE, DEPARTMENT OF",National Agricultural Statistics Service,NATIONAL AGRICULTURAL STATISTICS SERVICE,,L - Dissemination of Technical Information,1063948,5,0.14,9,FALSE,Agricultural Statistics Reports,"17.003, 10.153, 10.250, 10.700",19-Aug-20,19-Aug-20,TRUE,"Ann Johnson

1400 INDEPENDENCE AVENUE, S.W.,

South Agriculture Building, Room 5041A, WASHINGTON DC 20250

(202)690-0919"
,,10.951,Agricultural Statistics,"AGRICULTURE, DEPARTMENT OF",NULL,NATIONAL AGRICULTURAL STATISTICS SERVICE,Technical Assistance,L - Dissemination of Technical Information,0,48,0,48,TRUE,Agricultural Statistics,N/A,23-Sep-20,23-Sep-20,TRUE,"Ann Johnson

1400 INDEPENDENCE AVENUE, S.W.,

South Agriculture Building, Room 5041A, WASHINGTON DC 20250

2026900919"
,,11.008,NOAA Mission-Related Education Awards,NOAA,National Oceanic and Atmospheric Administration,,,Education,1738090.03,9,0.228,13,FALSE,NOAA MISSION-RELATED EDUCATION AWARDS,,,,,
,y,11.011,Ocean Exploration,"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Data & Monitoring,B - Project Grants,1122439.65,12,0.147,14,TRUE,Ocean Exploration,"11.432, 11.432, 11.420, 11.426, 11.420, 11.419, 11.419, 11.417, 11.417, 11.426, 11.431",22-Sep-20,22-Sep-20,FALSE,"Director,  Ocean Exploration & Research

1315 East-West Highway, Room 10210, , Silver Spring MD 20910

(301) 734-1010"
,y,11.012,Integrated Ocean Observing System (IOOS),"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Data & Monitoring,B - Project Grants,34051402.86,3,4.472,6,TRUE,Integrated Ocean Observing System (IOOS),"11.455, 11.417, 11.440, 11.420, 11.455, 11.429, 11.429, 11.426, 11.431, 11.419, 11.473",18-Sep-19,18-Sep-19,FALSE,"Carl Gouldman

1315 East-West Highway, Silver Spring, MD 20910, Silver Spring MD 20910

(240) 533-9454"
,y,11.015,NULL,"COMMERCE, DEPARTMENT OF",NULL,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Data & Monitoring,B - Project Grants,0,48,0,48,TRUE,Broad Agency Announcement,N/A,22-Sep-20,22-Sep-20,FALSE,"Lamar Dwayne Revis

1325 East West Highway, 9th floor, Bldg 2, Room 9328

, Silver Spring MD 20910

3016281308"
,,11.016,"Statistical, Research, and Methodology  Assistance","COMMERCE, DEPARTMENT OF",NULL,US CENSUS BUREAU,Data & Monitoring,B - Cooperative Agreements,0,48,0,48,TRUE,"Statistical, Research, and Methodology  Assistance",N/A,10-Sep-20,10-Sep-20,TRUE,"PCO ADRM

4600 Silver Hill Road , Suitland MD 20746

301-763-4628"
,y,11.020,Cluster Grants,"COMMERCE, DEPARTMENT OF",Economic Development Administration,ECONOMIC DEVELOPMENT ADMINISTRATION,,B - Project Grants,2700000,16,0.355,32,FALSE,Cluster Grants,N/A,30-Apr-21,30-Apr-21,TRUE,"Office of Innovation and Entrepreneurship

1401 Constitution Ave NW, Washington DC 20230

202-482-8001"
,,11.020,Cluster Grants,"COMMERCE, DEPARTMENT OF",Economic Development Administration,ECONOMIC DEVELOPMENT ADMINISTRATION,,B - Project Grants,2700000,16,0.355,32,FALSE,Cluster Grants,N/A,########,########,TRUE,"Office of Innovation and Entrepreneurship

1401 Constitution Ave NW, Washington DC 20230

202-482-8001"
,y,11.021,NOAA Small Business Innovation Research (SBIR) Program,"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Research & Innovation,B - Project Grants,669690,8,0.088,7,TRUE,NOAA Small Business Innovation Research (SBIR) Program,N/A,24-Sep-20,24-Sep-20,TRUE,"Bruce T. Gibbs

1315 East-West Highway, Silver Spring MD 20910

301.734.1134"
,,11.022,Bipartisan Budget Act of 2018,NOAA,National Oceanic and Atmospheric Administration,,,Capital Projects,239735,11,0.031,12,FALSE,BIPARTISAN BUDGET ACT OF 2018,,,,,
,y,11.024,NULL,"COMMERCE, DEPARTMENT OF",NULL,ECONOMIC DEVELOPMENT ADMINISTRATION,Capital Projects,B - Project Grants (Cooperative Agreements),0,48,0,48,TRUE,BUILD TO SCALE,N/A,19-Apr-21,19-Apr-21,TRUE,"Office of Innovation and Entrepreneurship

1401 Constitution Ave NW, Washington DC 20230

2024828001"
,,11.300,Investments for Public Works and Economic Development Facilities,ECONOMIC DEVELOPMENT ADMINISTRATION,Economic Development Administration,,,Capital Projects,63537313,4,8.344,15,FALSE,INVESTMENTS FOR PUBLIC WORKS AND ECONOMIC DEVELOPMENT FACILITIES,,,,,
,y,11.302,Economic Development Support for Planning Organizations,ECONOMIC DEVELOPMENT ADMINISTRATION,Economic Development Administration,,,Technical Assistance,15118691,3,1.985,22,FALSE,ECONOMIC DEVELOPMENT_SUPPORT FOR PLANNING ORGANIZATIONS,,,,,
,y,11.303,Economic Development Technical Assistance,"COMMERCE, DEPARTMENT OF",Economic Development Administration,ECONOMIC DEVELOPMENT ADMINISTRATION,,B - Project Grants,3048792,17,0.4,35,FALSE,Economic Development Technical Assistance,"11.307, 11.307",19-Apr-21,19-Apr-21,TRUE,"David Ives

1401 Constitution Avenue, NW Room 71030, Washington DC 20230

202-482-0529"
,,11.307,Economic Adjustment Assistance,ECONOMIC DEVELOPMENT ADMINISTRATION,Economic Development Administration,,,Capital Projects,82121731.55,16,10.784,29,FALSE,ECONOMIC ADJUSTMENT ASSISTANCE,,,,,
,,11.312,Research and Evaluation Program,"COMMERCE, DEPARTMENT OF",NULL,ECONOMIC DEVELOPMENT ADMINISTRATION,Research & Innovation,B - Project Grants (Cooperative Agreements),0,49,0,49,TRUE,Research and Evaluation Program,N/A,19-Apr-21,19-Apr-21,TRUE,"Ryan M. Smith

1401 Constitution Ave., NW, Room 71030, Washington DC 20230

202-482-1464"
,,11.417,Sea Grant Support,NOAA,National Oceanic and Atmospheric Administration,,,RESEARCH & INNOVATION,55769001.71,3,7.324,11,FALSE,SEA GRANT SUPPORT,,,,,
,,11.419,Coastal Zone Management Administration Awards,NOAA,National Oceanic and Atmospheric Administration,,,Capital Projects,52433943,2,6.886,8,FALSE,COASTAL ZONE MANAGEMENT ADMINISTRATION AWARDS,,,,,
,,11.420,Coastal Zone Management Estuarine Research Reserves,NOAA,National Oceanic and Atmospheric Administration,,,RESEARCH & INNOVATION,9724668,8,1.277,13,FALSE,COASTAL ZONE MANAGEMENT ESTUARINE RESEARCH RESERVES,,,,,
,y,11.426,Financial Assistance for National Centers for Coastal Ocean Science,"COMMERCE, DEPARTMENT OF",NULL,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Research & Innovation,B - Cooperative Agreements,0,48,0,48,TRUE,Financial Assistance for National Centers for Coastal Ocean Science,"11.417, 11.417",22-Sep-20,22-Sep-20,FALSE,"Jeffrey Kulnis

SSMC3 Rm: 14358

1315 East-West Hwy Silver Spring, MD 20910-3282, Silver Spring MD 20910

301-427-8771"
,,11.429,Marine Sanctuary Program,NOAA,National Oceanic and Atmospheric Administration,,,Capital Projects,3245139.06,4,0.426,4,FALSE,MARINE SANCTUARY PROGRAM,,,,,
,,11.431,Climate and Atmospheric Research,"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,B - Project Grants,20990148.49,7,2.756,12,FALSE,Climate and Atmospheric Research,N/A,24-Sep-20,24-Sep-20,TRUE,"Director

Director, Climate Program Office, National Oceanic and Atmospheric Administration,  Telephone: (301) 734-0000, Silver Spring MD 20910

(301) 427-2089"
,y,11.432,National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes,"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Research & Innovation,B - Project Grants,279424671.2,3,36.694,5,TRUE,National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes,"11.417, 11.468, 11.420, 11.431, 11.462, 11.459, 11.426, 11.420, 11.460, 11.417, 11.473, 11.426",22-Sep-20,22-Sep-20,FALSE,"CI Director

CI Director NOAA Research, 1315 East-West Highway, Room 11350, Office: (301) 734-1177 Fax: (301) 713-1459. NESDIS: Satya Kalluri, Chief, Cooperative Research Programs Division, NCWCP Building, NOAA/NESDIS/STAR, 5830 University Research Ct. 2nd Floor, #2612, College Park, MD 20740-3818, Telephone: 301-683-3510, E-mail: satya.kalluri@noaa.gov. NMFS: Julie Whitaker, 1842 Wasp Blvd., Bldg 176 Honolulu, HI 96818, Office: (808)725-5355 E-mail: Julie.Whitaker@noaa.gov., Silver Spring MD 20910

(301) 734-1177"
,,11.433,Marine Fisheries Initiative,NOAA,NULL,,,Capital Projects,0,48,0,48,FALSE,MARINE FISHERIES INITIATIVE,,,,,
,,11.436,Columbia River Fisheries Development Program,,National Oceanic and Atmospheric Administration,,Research & Innovation,,88631738.64,1,11.639,2,TRUE,Columbia River Fisheries Development Program,,,,,
,,11.437,Pacific Fisheries Data Program,,National Oceanic and Atmospheric Administration,,,,5841371,3,0.767,4,FALSE,Pacific Fisheries Data Program,,,,,
,y,11.438,Pacific Coast Salmon Recovery Pacific Salmon Treaty Program,,National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,,339605059.7,1,44.597,3,FALSE,Pacific Coast Salmon Recovery Pacific Salmon Treaty Program,,,,,
,y,11.440,"Environmental Sciences, Applications, Data, and Education","COMMERCE, DEPARTMENT OF",NULL,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Data & Monitoring,B - Project Grants,0,49,0,49,TRUE,"Environmental Sciences, Applications, Data, and Education","11.431, 11.432, 11.432",11-Aug-20,11-Aug-20,TRUE,"(Acting) Jeff Key

Cooperative Research Program

DOC/NOAA/NESDIS/STAR,5830 University Research Court, Suite 2600, College Park MD 20740

6082632605"
,,11.441,Regional Fishery Management Councils,,NULL,,Conservation,,0,48,0,48,TRUE,Regional Fishery Management Councils,,,,,
,,11.452,Unallied Industry Projects,"COMMERCE, DEPARTMENT OF",NULL,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Capital Projects,B - Cooperative Agreements,0,48,0,48,TRUE,Unallied Industry Projects,N/A,22-Sep-20,22-Sep-20,FALSE,"Dan Namur

Office of Management and Budget,, National Marine Fisheries Service, 1315 East-West Highway, , Silver Spring MD 20910

 (301) 713-1364"
,y,11.455,Cooperative Science and Education Program,"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Education,B - Cooperative Agreements,47253,9,0.006,9,TRUE,Cooperative Science and Education Program,N/A,22-Sep-20,22-Sep-20,FALSE,"Jeffrey Kulnis

1305 East West Highway

Silver Spring, MD 20910, Silver Spring 1  20910

301-427-8771"
,,11.459,Weather and Air Quality Research,"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Research & Innovation,B - Project Grants,580030,23,0.076,30,TRUE,Weather and Air Quality Research,"11.432, 11.431, 11.432",24-Sep-20,24-Sep-20,FALSE,"Administrator

1315 East-West Highway, Silver Spring MD 20910

(301) 734-1130"
,y,11.460,Special Oceanic and Atmospheric Projects,"COMMERCE, DEPARTMENT OF",NULL,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Research & Innovation,B - Project Grants,0,50,0,50,TRUE,Special Oceanic and Atmospheric Projects,"11.432, 11.431, 11.420, 11.432, 11.426, 11.426, 11.420, 11.417, 11.417",24-Sep-20,24-Sep-20,FALSE,"Bruce T.  Gibbs

1315 East-West Highway, Silver Spring MD 20910

(301) 734-1134"
,y,11.462,Hydrologic Research,"COMMERCE, DEPARTMENT OF",NULL,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,B - Cooperative Agreements,0,48,0,48,FALSE,Hydrologic Research,"11.467, 11.468, 11.432, 11.432",30-Sep-16,30-Sep-16,FALSE,"Sam Contorno

IWRSS National Water Center, 205 Hackberry Lane, Tuscaloosa AL 35401

(205) 347-1313"
,y,11.463,Habitat Conservation,"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,B - Cooperative Agreements,26165902.9,6,3.436,12,FALSE,Habitat Conservation,"11.419, 11.469, 11.441, 11.426, 11.441, 11.469, 11.419, 11.426, 11.457, 11.457",22-Sep-20,22-Sep-20,FALSE,"Jeffrey Kulnis

NOAA Fisheries, Office of Habitat Conservation,1315 East West Highway, Silver Spring, MD 20910.  CWPPRA: Ms. Cecelia Linder; Telephone (301)713-0174; Fax (301)713-0184; E-mail Cecelia.Linder@noaa.gov.  Community-based Restoration Program (CRP): Ms. Robin Bruckner; Telephone (301)713-0174; Fax (301)713-0184; E-mail Robin.Bruckner@noaa.gov. General Coral Reef Conservation Grant Program: Ms. Jennifer Koss; Telephone (301) 713-4300; Fax (301) 713-1043; Email Jennifer.Koss@noaa.gov.  International Coral Reef Conservation Grant Program: Scot Frew; 1315 East West Highway, 5th Floor, Room 5826, Silver Spring, MD 20910; Telephone (301) 713-3078; Fax 301-713-4263; E-mail Scot.Frew@noaa.gov., Silver Spring MD 20910

301-427-8771"
,,11.467,Meteorologic and Hydrologic Modernization Development,"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Data & Monitoring,B - Project Grants,7849481.76,4,1.031,6,TRUE,Meteorologic and Hydrologic Modernization Development,"11.468, 11.462, 11.468, 11.432, 11.432",28-Mar-18,28-Mar-18,FALSE,"Leroy Spayd

Chief, Training Division

National Weather Service/Office of the Chief Learning Officer

1325 East West Highway, Silver Spring MD 20910

3014279322"
,,11.468,Applied Meteorological Research,NOAA,National Oceanic and Atmospheric Administration,,,RESEARCH & INNOVATION,2413420,13,0.317,16,FALSE,APPLIED METEOROLOGICAL RESEARCH,,,,,
,,11.469,Congressionally Identified Awards and  Projects,NOAA,National Oceanic and Atmospheric Administration,,,Capital Projects,1615494,13,0.212,14,FALSE,CONGRESSIONALLY IDENTIFIED AWARDS AND PROJECTS,,,,,
,,11.472,Unallied Science Program,NOAA,National Oceanic and Atmospheric Administration,,,RESEARCH & INNOVATION,10969460.52,10,1.441,12,FALSE,UNALLIED SCIENCE PROGRAM,,,,,
,y,11.473,Office for Coastal Management,"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,B - Cooperative Agreements,8558167,5,1.124,11,FALSE,Office for Coastal Management,"11.420, 11.432, 11.431, 11.426, 11.440, 11.429, 11.455, 11.429, 11.417, 11.432, 11.420, 11.417, 11.419, 11.426, 11.419, 11.440, 11.455",22-Sep-17,22-Sep-17,FALSE,"W. Russell Callender

NOS, 1305 East-West Highway, Silver Spring MD 20910

301-713-3074"
,,11.478,Center for Sponsored Coastal Ocean Research Coastal Ocean Program,NOAA,National Oceanic and Atmospheric Administration,,,RESEARCH & INNOVATION,6481021,9,0.851,13,FALSE,CENTER FOR SPONSORED COASTAL OCEAN RESEARCH COASTAL OCEAN PROGRAM,,,,,
,,11.482,Coral Reef Conservation Program,"COMMERCE, DEPARTMENT OF",National Oceanic and Atmospheric Administration,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Conservation,Z - Salaries and Expenses,201498,9,0.026,10,TRUE,Coral Reef Conservation Program,"11.441, 11.426, 11.463, 11.441, 11.419, 11.419, 11.426, 11.463",22-Sep-20,22-Sep-20,FALSE,"Jeffrey Kulnis

SSMC3 Rm: 14358

1315 East-West Hwy Silver Spring, MD 20910-3282, Silver Spring MD 20910

301-427-8771"
